date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-08-18,41,28,0.0,11.6,8,0,05:34 AM,07:50 PM,06:14 AM,07:36 PM,8,35,35,35,18,18,21,0.1,1012,41,10,238,11,california
2020-08-19,40,28,0.0,11.6,8,0,06:44 AM,08:29 PM,06:15 AM,07:35 PM,8,33,33,34,21,27,22,0.2,1010,40,10,273,14,california
2020-08-20,39,26,0.0,11.6,8,6,07:56 AM,09:05 PM,06:16 AM,07:34 PM,1,32,32,33,29,3,14,0.0,1008,39,10,287,19,california
2020-08-21,40,26,0.0,11.6,8,13,09:06 AM,09:39 PM,06:17 AM,07:33 PM,2,33,33,33,28,7,15,0.0,1007,40,10,275,18,california
2020-08-22,38,26,0.0,11.6,8,20,10:16 AM,10:12 PM,06:17 AM,07:31 PM,6,32,32,32,25,25,21,0.0,1009,38,10,222,16,california
2020-08-23,36,23,0.0,11.6,7,28,11:25 AM,10:47 PM,06:18 AM,07:30 PM,11,30,30,29,23,13,35,0.1,1010,36,10,219,14,california
2020-08-24,36,23,0.0,11.6,8,35,12:34 PM,11:25 PM,06:19 AM,07:29 PM,9,31,31,30,24,14,32,0.0,1010,36,10,219,16,california
2020-08-25,37,24,0.0,11.6,8,42,01:43 PM,No moonset,06:20 AM,07:28 PM,7,32,32,31,25,1,26,0.0,1009,37,10,225,17,california
2020-08-26,38,23,0.0,11.6,8,50,02:49 PM,12:06 AM,06:20 AM,07:26 PM,5,31,31,31,24,0,25,0.0,1007,38,10,239,16,california
2020-08-27,37,22,0.0,11.6,8,57,03:52 PM,12:54 AM,06:21 AM,07:25 PM,5,30,30,30,22,0,26,0.0,1006,37,10,251,14,california
2020-08-28,35,23,0.0,11.6,8,64,04:48 PM,01:46 AM,06:22 AM,07:24 PM,-1,30,30,30,25,0,17,0.0,1008,35,10,236,17,california
2020-08-29,34,21,0.0,11.6,7,71,05:39 PM,02:43 AM,06:23 AM,07:22 PM,-3,27,27,28,23,0,15,0.0,1009,34,10,222,14,california
2020-08-30,34,19,0.0,11.6,7,79,06:21 PM,03:43 AM,06:23 AM,07:21 PM,-2,27,27,27,18,0,19,0.0,1009,34,10,211,11,california
2020-08-31,35,20,0.0,11.6,7,82,06:59 PM,04:44 AM,06:24 AM,07:19 PM,0,28,28,28,21,0,21,0.0,1008,35,10,220,13,california
2020-09-01,35,21,0.0,11.6,7,97,07:31 PM,05:44 AM,06:25 AM,07:18 PM,3,28,28,29,21,0,22,0.0,1010,35,10,220,12,california
2020-09-02,37,22,0.0,11.6,8,100,08:00 PM,06:42 AM,06:25 AM,07:17 PM,4,30,30,30,18,0,22,0.0,1013,37,10,244,12,california
2020-09-03,38,23,0.0,11.6,8,88,08:27 PM,07:40 AM,06:26 AM,07:15 PM,4,31,31,31,15,0,22,0.0,1013,38,10,240,9,california
